,INR/Mcal
Bihar,1.8729354960870999
Jharkhand,1.5905228329615908
Odisha,1.6584813660258912
Sikkim,
West Bengal,1.9862667744534246
Arunachal Pradesh,
Assam,2.9271094348767375
Meghalaya,
Manipur,
Mizoram,
Nagaland,
Tripura,
Delhi,
Himachal Pradesh,
Haryana,3.236799115309093
Jammu and Kashmir,
Punjab,3.772683784321831
Rajasthan,2.797601247130053
Uttarakhand,
Uttar Pradesh,2.0439299243897513
Andhra Pradesh,3.4288028031215663
Karnataka,3.4638248570387997
Kerala,
Tamil Nadu,3.8998950481863397
Telangana,2.035120042196041
Chhattisgarh,1.5900090851893383
Goa,
Gujarat,3.698583495215596
Maharashtra,2.3764270284845432
Madhya Pradesh,1.724748915884702
